pathway_id	pathway_name	gene_id
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G177373
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G145460
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G029856
COLANSYN-PWY	colanic acid building blocks biosynthesis	phi1
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G076075
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G412899
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G140614
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G162078
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G169326
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G121066
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G456471
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G456917
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G448466
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G438998
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G542227
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G165535
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G173668
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G173674
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G067908
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G069676
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G160506
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G119300
COLANSYN-PWY	colanic acid building blocks biosynthesis	GRMZM2G149265
PWY-3261	UDP-L-rhamnose biosynthesis	GRMZM2G044281
PWY-3261	UDP-L-rhamnose biosynthesis	GRMZM2G031311
PWY-3261	UDP-L-rhamnose biosynthesis	GRMZM2G166767
PWY-1121	suberin biosynthesis	GRMZM2G441347
PWY-1121	suberin biosynthesis	GRMZM2G118345
PWY-1121	suberin biosynthesis	GRMZM2G063917
PWY-1121	suberin biosynthesis	GRMZM2G081582
PWY-1121	suberin biosynthesis	GRMZM2G160541
PWY-1121	suberin biosynthesis	GRMZM2G170692
PWY-1121	suberin biosynthesis	GRMZM2G029048
PWY-1121	suberin biosynthesis	GRMZM2G074604
PWY-1121	suberin biosynthesis	GRMZM2G010468
PWY-1121	suberin biosynthesis	AC196475.3_FG004
PWY-1121	suberin biosynthesis	GRMZM2G423331
PWY-1121	suberin biosynthesis	GRMZM2G433624
PWY-1121	suberin biosynthesis	GRMZM2G122787
PWY-1121	suberin biosynthesis	GRMZM2G096020
PWY-1121	suberin biosynthesis	GRMZM2G014651
PWY-1121	suberin biosynthesis	GRMZM2G145179
PWY-1121	suberin biosynthesis	GRMZM2G091643
PWY-1121	suberin biosynthesis	GRMZM5G805585
PWY-1121	suberin biosynthesis	GRMZM2G004138
PWY-1121	suberin biosynthesis	GRMZM2G033952
PWY-1121	suberin biosynthesis	GRMZM2G332522
PWY-1121	suberin biosynthesis	GRMZM2G127948
PWY-1121	suberin biosynthesis	GRMZM2G099363
PWY-1121	suberin biosynthesis	GRMZM2G077486
PWY-1121	suberin biosynthesis	GRMZM2G048522
PWY-1121	suberin biosynthesis	GRMZM2G054013
PWY-1121	suberin biosynthesis	GRMZM2G174732
PWY-1121	suberin biosynthesis	GRMZM2G075333
PWY-1121	suberin biosynthesis	GRMZM2G055320
PWY-5800	xylan biosynthesis	GRMZM2G001079
PWY-5800	xylan biosynthesis	GRMZM2G076307
PWY-5800	xylan biosynthesis	GRMZM2G160585
PWY-5800	xylan biosynthesis	GRMZM2G040630
PWY-5800	xylan biosynthesis	GRMZM2G113655
PWY-5800	xylan biosynthesis	GRMZM2G150302
PWY-5800	xylan biosynthesis	GRMZM2G012874
PWY-5800	xylan biosynthesis	GRMZM2G118959
